"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta nueva","crear cuenta de usuario nuevo","SUCCESS","2022-10-14T08:51:27.8148526-05:00[America/Bogota]","0.0","26.35"
"Crear cuenta nueva","ingresar a la pagina web y comprar algun producto","SUCCESS","2022-10-14T08:51:54.6002287-05:00[America/Bogota]","0.0","26.63"
